searge,name,side,desc
field_100013_f,noCounter,2,
field_104057_T,forceGameType,2,
field_110150_bn,lastHurtMob,2,
field_110151_bq,absorptionAmount,2,
field_110153_bc,lastHurt,2,
field_110154_aX,run,2,
field_110155_d,attributes,2,
field_110156_b,SPEED_MODIFIER_SPRINTING_UUID,2,
field_110157_c,SPEED_MODIFIER_SPRINTING,2,
field_110158_av,swingTime,2,
field_110168_bw,leashHolder,2,
field_110170_bx,leashInfoTag,2,
field_110184_bp,SPEED_MODIFIER_DRINKING_UUID,2,
field_110185_bq,SPEED_MODIFIER_DRINKING,2,
field_110187_bq,SPEED_MODIFIER_BABY_UUID,2,
field_110188_br,SPEED_MODIFIER_BABY,2,
field_110192_bp,SPEED_MODIFIER_ATTACKING_UUID,2,
field_110193_bq,SPEED_MODIFIER_ATTACKING,2,
field_110274_bs,temper,2,
field_110275_br,isJumping,2,
field_110276_bu,PARENT_HORSE_SELECTOR,2,
field_110277_bt,playerJumpPendingScale,2,
field_110278_bp,tailCounter,2,
field_110279_bq,sprintCounter,2,
field_110281_bL,standAnim,2,
field_110282_bM,standAnimO,2,
field_110283_bJ,eatAnim,2,
field_110284_bK,eatAnimO,2,
field_110285_bP,gallopSoundCounter,2,
field_110287_bN,mouthAnim,2,
field_110288_bO,mouthAnimO,2,
field_110290_bE,mouthCounter,2,
field_110294_bI,allowStandSliding,2,
field_110295_bF,standCounter,2,
field_110296_bG,inventory,2,
field_110320_a,jumpRidingTicks,0,
field_110321_bQ,jumpRidingScale,0,
field_110328_d,PUMPKIN_BLUR_LOCATION,0,
field_110329_b,VIGNETTE_LOCATION,0,
field_110330_c,WIDGETS_LOCATION,0,
field_110352_y,MINECRAFT_LOGO,0,
field_110447_Z,launchedVersion,0,
field_110448_aq,resourcePackRepository,0,
field_110451_am,resourceManager,0,
field_110453_aa,proxy,0,
field_110456_c,proxy,2,
field_110475_d,defaultFrameTime,0,
field_110476_b,frameWidth,0,
field_110477_c,frameHeight,0,
field_110478_a,frames,0,
field_110481_b,clamp,0,
field_110482_a,blur,0,
field_110498_b,time,0,
field_110499_a,index,0,
field_110553_a,id,0,
field_110559_g,uploaded,0,
field_110562_b,urlString,0,
field_110566_b,pixels,0,
field_110568_b,location,0,
field_110575_b,LOCATION_BLOCKS,0,
field_110582_d,resourceManager,0,
field_110583_b,tickableTextures,0,
field_110584_c,prefixRegister,0,
field_110585_a,byPath,0,
field_110625_b,path,2,
field_110626_a,namespace,2,
field_110723_a,knot,0,
field_110782_f,BOAT_TEXTURE_LOCATIONS,0,
field_110785_a,EXPERIENCE_ORB_LOCATION,0,
field_110787_a,END_CRYSTAL_LOCATION,0,
field_110798_h,ENCHANT_GLINT_LOCATION,0,
field_110801_f,model,0,
field_110802_a,KNOT_LOCATION,0,
field_110804_g,MINECART_LOCATION,0,
field_110810_f,WITHER_LOCATION,0,
field_110811_a,WITHER_INVULNERABLE_LOCATION,0,
field_110830_f,CREEPER_LOCATION,0,
field_110833_a,COW_LOCATION,0,
field_110835_a,BAT_LOCATION,0,
field_110837_a,BLAZE_LOCATION,0,
field_110839_f,ENDERMAN_LOCATION,0,
field_110842_f,DRAGON_EXPLODING_LOCATION,0,
field_110843_g,CRYSTAL_BEAM_LOCATION,0,
field_110844_k,DRAGON_LOCATION,0,
field_110861_l,WITHER_SKELETON_LOCATION,0,
field_110862_k,SKELETON_LOCATION,0,
field_110864_q,ZOMBIE_VILLAGER_LOCATION,0,
field_110868_f,GHAST_SHOOTING_LOCATION,0,
field_110869_a,GHAST_LOCATION,0,
field_110871_a,ZOMBIE_LOCATION,0,
field_110873_a,MAGMACUBE_LOCATION,0,
field_110875_f,CAT_OCELOT_LOCATION,0,
field_110882_a,SILVERFISH_LOCATION,0,
field_110884_f,SHEEP_LOCATION,0,
field_110887_f,PIG_LOCATION,0,
field_110890_f,SPIDER_LOCATION,0,
field_110893_a,CAVE_SPIDER_LOCATION,0,
field_110895_a,SNOW_GOLEM_LOCATION,0,
field_110897_a,SLIME_LOCATION,0,
field_110899_a,GOLEM_LOCATION,0,
field_110901_a,SQUID_LOCATION,0,
field_110910_a,WITCH_LOCATION,0,
field_110912_f,WITHER_LOCATION,0,
field_110913_a,WITHER_INVULNERABLE_LOCATION,0,
field_110915_f,WOLF_TAME_LOCATION,0,
field_110916_g,WOLF_ANGRY_LOCATION,0,
field_110917_a,WOLF_LOCATION,0,
field_110920_a,CHICKEN_LOCATION,0,
field_110925_j,CLOUDS_LOCATION,0,
field_110926_k,END_SKY_LOCATION,0,
field_110927_h,MOON_LOCATION,0,
field_110928_i,SUN_LOCATION,0,
field_110973_g,frame,0,
field_110974_d,y,0,
field_110975_c,x,0,
field_110977_n,v0,0,
field_110978_o,v1,0,
field_110979_l,u0,0,
field_110980_m,u1,0,
field_110982_k,metadata,0,
field_110983_h,subFrame,0,
field_111020_b,isNeedingChest,2,
field_111021_b,isNeedingChest,2,
field_111053_a,UNSUPPORTED_FORMAT_PATTERN,2,
field_111118_b,maxValue,2,
field_111120_a,minValue,2,
field_111135_e,permanentModifiers,2,
field_111136_b,attribute,2,
field_111137_c,modifiersByOperation,2,
field_111170_d,id,2,
field_111172_b,operation,2,
field_111173_c,nameGetter,2,
field_111174_a,amount,2,
field_111176_d,posY,2,
field_111177_e,posZ,2,
field_111178_b,speedModifier,2,
field_111179_c,posX,2,
field_111180_a,horse,2,
field_111188_I,attributeModifiers,2,
field_111204_q,inhabitedTime,2,
field_111210_e,BASE_ATTACK_DAMAGE_UUID,2,
field_111230_s,enchantmentCategories,2,
field_111239_a,this$0,2,
field_111240_b,this$0,2,
field_111241_a,val$horse,2,
field_111242_f,horse,2,
field_111243_a,horseContainer,2,
field_111284_a,ATTRIBUTE_MODIFIER_FORMAT,2,
field_120014_b,tickCount,2,
field_120015_a,server,2,
field_120021_b,server,2,
field_120023_a,val$server,2,
field_120024_b,this$0,2,
field_120036_d,msgs,2,
field_120037_e,server,2,
field_120038_b,values,2,
field_120039_c,vp,2,
field_120040_a,DECIMAL_FORMAT,2,
field_130068_bO,lastRecordedHealthAndAbsorption,2,
field_130070_K,resourcePackDirectory,0,
field_130078_a,LOCATION,0,
field_130079_a,LOCATION,0,
field_135017_as,languageManager,0,
field_135019_a,languages,0,
field_135036_d,bidirectional,0,
field_135037_b,region,0,
field_135038_c,name,0,
field_135039_a,code,0,
field_135046_d,languages,0,
field_135048_c,currentCode,0,
field_142016_bo,lastHurtMobTimestamp,2,
field_142022_ce,serverBrand,0,
field_142025_a,ON_OSX,0,
field_142048_a,isBaby,2,
field_142050_e,timestamp,2,
field_142051_e,timestamp,2,
field_142052_b,timestamp,2,
field_143005_bX,lastActionTime,2,
field_143008_E,playerIdleTimeout,2,
field_143013_d,entryDoor,2,
field_143023_d,chunkZ,2,
field_143024_c,chunkX,2,
field_145761_f,name,2,
field_145762_d,lastOutput,2,
field_145763_e,command,2,
field_145764_b,successCount,2,
field_145765_c,trackOutput,2,
field_145766_a,TIME_FORMAT,2,
field_145767_a,this$0,2,
field_145783_c,id,2,
field_145801_f,thrower,2,
field_145802_g,owner,2,
field_145804_b,pickupDelay,2,
field_145808_f,cancelDrop,2,
field_145809_g,hurtEntities,2,
field_145810_d,blockData,2,
field_145812_b,time,2,
field_145813_c,dropItem,2,
field_145815_h,fallDamageMax,2,
field_145816_i,fallDamageAmount,2,
field_145823_b,lastActivated,2,
field_145824_a,commandBlock,2,
field_145846_f,remove,2,
field_145850_b,level,2,
field_145852_a,LOGGER,2,
field_145870_n,progressO,2,
field_145872_l,isSourcePiston,2,
field_145873_m,progress,2,
field_145875_k,extending,2,
field_145882_a,spawner,2,
