searge,name,side,desc
func_100011_g,isNoCounter,2,
func_100012_b,setNoCounter,2,
func_104002_bU,isPersistenceRequired,2,
func_104055_i,setForceGameType,2,
func_104056_am,getForceGameType,2,
func_110121_a,stringHasValue,0,
func_110124_au,getUUID,2,
func_110128_b,dropItem,2,
func_110131_b,removeFramedMap,2,
func_110132_b,removeListener,2,
func_110134_a,addListener,2,
func_110138_aP,getMaxHealth,2,
func_110139_bj,getAbsorptionAmount,2,
func_110142_aN,getCombatTracker,2,
func_110143_aJ,getHealth,2,
func_110144_aD,getLastHurtMob,2,
func_110146_f,tickHeadTurn,2,
func_110148_a,getAttribute,2,
func_110149_m,setAbsorptionAmount,2,
func_110159_bB,tickLeash,2,
func_110160_i,dropLeash,2,
func_110162_b,setLeashedTo,2,
func_110163_bv,setPersistenceRequired,2,
func_110165_bF,restoreLeashFromSave,2,
func_110166_bE,getLeashHolder,2,
func_110167_bD,isLeashed,2,
func_110182_bF,isCharging,2,
func_110195_a,ageUp,2,
func_110198_t,modifyTemper,2,
func_110199_f,openInventory,2,
func_110200_cJ,canParent,2,
func_110201_q,getMouthAnim,2,
func_110203_cN,generateRandomSpeed,2,
func_110204_cc,isEating,2,
func_110205_ce,isBred,2,
func_110206_u,onPlayerJump,2,
func_110207_m,setChest,2,
func_110208_b,setFlag,2,
func_110209_cd,isStanding,2,
func_110210_cH,moveTail,2,
func_110215_cj,getCustomJump,2,
func_110216_r,spawnTamingParticles,2,
func_110219_q,setStanding,2,
func_110220_cK,stand,2,
func_110223_p,getStandAnim,2,
func_110226_cD,createInventory,2,
func_110227_p,setEating,2,
func_110233_w,getFlag,2,
func_110234_j,setTamed,2,
func_110237_h,doPlayerRide,2,
func_110238_s,setTemper,2,
func_110242_l,setBred,2,
func_110245_cM,generateRandomJumpStrength,2,
func_110246_bZ,isJumping,2,
func_110248_bS,isTamed,2,
func_110249_cI,openMouth,2,
func_110252_cg,getTemper,2,
func_110255_k,setIsJumping,2,
func_110257_ck,isSaddled,2,
func_110258_o,getEatAnim,2,
func_110263_g,tameWithName,2,
func_110266_cB,eating,2,
func_110267_cL,generateRandomMaxHealth,2,
func_110297_a_,notifyTradeUpdated,2,
func_110303_q,getCloakTextureLocation,0,
func_110304_a,registerSkinTexture,0,
func_110306_p,getSkinTextureLocation,0,
func_110311_f,getSkinLocation,0,
func_110317_t,isRidingJumpable,0,
func_110318_g,sendRidingJump,0,
func_110319_bJ,getJumpRidingScale,0,
func_110430_a,setPlayerInput,2,
func_110432_I,getUser,0,
func_110434_K,getTextureManager,0,
func_110437_J,getProxy,0,
func_110455_j,getOperatorUserPermissionLevel,2,
func_110468_c,getFrameIndex,0,
func_110469_d,getDefaultFrameTime,0,
func_110472_a,getFrameTime,0,
func_110473_c,getFrameCount,0,
func_110479_a,isBlur,0,
func_110480_b,isClamp,0,
func_110483_a,getMetadataSectionName,2,
func_110492_a,getFrame,0,
func_110495_a,isTimeUnknown,0,
func_110496_c,getIndex,0,
func_110497_b,getTime,0,
func_110550_d,tick,0,
func_110552_b,getId,0,
func_110564_a,upload,0,
func_110572_b,getTexture,0,
func_110577_a,bind,0,
func_110578_a,register,0,
func_110623_a,getPath,2,
func_110624_b,getNamespace,2,
func_110646_a,stripFormatting,2,
func_110647_a,getPlatform,2,
func_110738_j,isServerControlledInventory,0,
func_110775_a,getTextureLocation,0,
func_110935_a,getWidth,0,
func_110936_b,getHeight,0,
func_110970_k,getFrameCount,0,
func_111104_a,setRandomEffect,2,
func_111109_a,sanitizeValue,2,
func_111110_b,getDefaultValue,2,
func_111111_c,isClientSyncable,2,
func_111121_a,addModifier,2,
func_111123_a,getAttribute,2,
func_111124_b,removeModifier,2,
func_111125_b,getBaseValue,2,
func_111126_e,getValue,2,
func_111127_a,getModifier,2,
func_111128_a,setBaseValue,2,
func_111129_g,calculateValue,2,
func_111164_d,getAmount,2,
func_111166_b,getName,2,
func_111167_a,getId,2,
func_111175_f,getFollowDistance,2,
func_111183_a,getAttributeModifierValue,2,
func_111185_a,addAttributeModifiers,2,
func_111186_k,getAttributeModifiers,2,
func_111187_a,removeAttributeModifiers,2,
func_111205_h,getDefaultAttributeModifiers,2,
func_111207_a,interactLivingEntity,2,
func_111225_m,getEnchantmentCategories,2,
func_111226_a,hasEnchantmentCategory,2,
func_111229_a,setEnchantmentCategories,2,
func_111238_b,isActive,2,
func_111270_a,minmax,2,
func_111282_a_,interactLivingEntity,2,
func_111283_C,getAttributeModifiers,2,
func_111285_a,getName,0,
func_111286_b,getSessionId,0,
func_120011_ar,showGui,2,
func_120018_d,buildChatPanel,2,
